,images,captions
3702,3016606751_0e8be20abd,"['<START> رجل يقفز في هواء و خلفه جبل <END>', '<START> رجل يتهيا ليقفز من صخور الي صخور اخري في غابه <END>', '<START> شاب يقفز في هواء من قمه جبليه صخريه <END>']"
3804,3042488474_0d2ec81eb8,"['<START> رجل اشقر ينظر الي كاميرا <END>', '<START> اثنين من رجال يرتدون ازرق يواجهان بعضهما بعض <END>', '<START> رجلان مع نظارات شمسيه علي راسهما يتحدثان <END>']"
1927,244910130_e1f823a28a,"['<START> رجل ملتح ذو شعر داكن يرتدي نظارات وقميص هاواي يجلس علي عشب <END>', '<START> رجل يرتدي نظارات يجلس علي عشب <END>', '<START> رجل ملتحي يجلس امام شجره دائمه خضره <END>']"
7095,380515798_c2abbf46b0,"['<START> سوق شارع مليء بالخيام بيضاء و مشاه و باعه <END>', '<START> امراه تنظر علي طاوله من خضروات عضويه في سوق مزارعين <END>', '<START> رجال و نساء يسيرون علي رصيف خارج سوق <END>']"
3427,293151893_ee7249eccb,"['<START> ظل لكلبين يركضان علي ضفاف بحيره <END>', '<START> اثنين من كلاب يركضان علي ارض علي طول ماء <END>', '<START> اثنين من كلاب تعمل علي شاطئ <END>']"
749,1821238649_2fda79d6d7,"['<START> فتاه ترتدي زي احمر شيطاني <END>', '<START> امراه في زي احمر شيطان امام نافوره <END>', '<START> امراه ترتدي زي شيطان وتقف امام نافوره <END>']"
3638,2998861375_02817e0147,"['<START> مجموعه من اعضاء جيش يصوبون هدف <END>', '<START> افراد جيش يتعلمون كيفيه اطلاق نار باستخدام بنادقهم <END>', '<START> افراد جيش يطلقون بالبنادق <END>']"
5893,3486154327_8be7c78569,"['<START> يجلس ثلاثه اطفال علي قمه درج <END>', '<START> يجلس ثلاثه اطفال علي قمه درج من رخام <END>', '<START> ثلاثه اطفال يجلسون فوق سلالم <END>']"
1266,2225864432_48a24f49a4,"['<START> امراتان واقفتان واحده منهم يدخن <END>', '<START> امراتان في خارج احداهما تدخن <END>', '<START> امراه تقف خارج مبني و واحده تدخن <END>']"
5925,3493844822_c315a11275,"['<START> رجل يركب امواج <END>', '<START> راكب امواج في هواء تاركا ماء <END>', '<START> شاب علي لوح تزلج ابيض يقفز فوق موجه ضخمه <END>']"
6146,3535768334_a3924bcccd,"['<START> صبي علي دراجته يرتدي قميصا ازرقا وهو في جو <END>', '<START> يقوم دراج بقفز في حلبه تزلج ومتنزه للدراجات <END>', '<START> شاب يقوم بعمل حيله علي دراجه بالقرب من شاطئ <END>']"
7152,397815951_3b02090324,"['<START> كلب يحاول عض كلب اخر <END>', '<START> اثنين من كلاب سوداء يتقاتلان مع بعضها بعض <END>', '<START> اثنين من كلاب يلعبون مع بعضها بعض علي ارضيه خشبيه <END>']"
3595,2986671935_0c60bbb3fa,"['<START> رجال في مجموعه خلال سباق للدراجات <END>', '<START> عديد من راكبي دراجات هوائيه يركبون دراجاتهم في سباق <END>', '<START> عديد من راكبي دراجات يرتدون الوان مختلفه يركبون دراجات علي رصيف <END>']"
2134,2517284816_9b8fd3c6b6,"['<START> حشد من اطفال <END>', '<START> حشد كبير من فتيات يرتدين كلهم تنانير خضراء والقمصان بيضاء <END>', '<START> اولاد والبنات في حفله <END>']"
5066,3325974730_3ee192e4ff,"['<START> يقفز احد متزلجين علي ثلج في هواء من منحدر ثلجي <END>', '<START> يقفز احد متزلجين علي منحدر <END>', '<START> رجل علي جليد يقوم بخدعه عاليه في هواء <END>']"
4109,3119903318_d032141839,"['<START> رجل يرتدي سروالا قصيرا يقف بالقرب من تاثيرات خاصه متفجره <END>', '<START> رجل شبه عار علي خشبه مسرح عليها نار <END>', '<START> مصارع يقف امام سلسله من انفجارات <END>']"
4969,3301854980_233cc2f896,"['<START> رجل علي لوح تزلج ينزلق علي درابزين <END>', '<START> طفل يتزلج اسفل مجموعه من درابزين في يوم ثلجي <END>', '<START> صبي تزلج اسفل درابزين في فصل شتاء <END>']"
4904,3286406057_a1668655af,"['<START> فتاتان تبحثان علي شيء ما تبتسم واحده منهما <END>', '<START> تضحك فتاتان ترتديان قمصان حمراء مربوطه في خصورهما اثناء نظر الي اسفل <END>', '<START> فتاتان مراهقتان واحده تبتسم <END>']"
514,1470061031_4cb59c12a8,"['<START> اثنين من كلاب بني يقاتلون <END>', '<START> اثنين من كلاب يقاتلون علي رصيف طوب <END>', '<START> اثنين من كلاب يلعبون مع بعضهم بعض <END>']"
7233,424379231_23f1ade134,"['<START> كلب بني فاتح و ابيض يمشي علي درابزين رفيع <END>', '<START> كلب صغير يمشي علي طول ممشي مرتفع <END>', '<START> كلب ابيض و اسمر يمشي علي شعاع <END>']"
409,141139674_246c0f90a1,"['<START> صبي يضرب بيسبول بالمضرب <END>', '<START> طفل يضرب بيسبول خلال لعبه <END>', '<START> طفل يضرب بيسبول <END>']"
7162,401476986_73918145a3,"['<START> كلب كبير يركض في حقل عشبي مع اخشاب في فمه <END>', '<START> كلب يمتد علي ارض <END>', '<START> راعي الماني يقفز في جو <END>']"
8057,963730324_0638534227,"['<START> طفل يدفع عربه تسوق خلف شخص بالغ داخل سوق استهلاكي <END>', '<START> صبي صغير يدفع عربه تسوق بعد رجل <END>', '<START> يدفع ولد صغير عربه داخل متجر <END>']"
7996,880220939_0ef1c37f1f,"['<START> مجموعه من نساء بفساتين زهريه يسيران عبر ممر مشاه باتجاه سفينه بحريه <END>', '<START> فتيات في فساتين ورديه تمشي نحو سفينه سياحيه <END>', '<START> سيدات في ثياب براقه يعبرون طريق <END>']"
7008,3720366614_dfa8fe1088,"['<START> كلب اسود صغير يقف علي اربعه اقدام و يرتدي وردي <END>', '<START> كلب يقفز بجانب جدار احمر <END>', '<START> كلب صغير يرتدي لباس تويتي و يقف علي رجليه خلفيتين <END>']"
207,124881487_36e668145d,"['<START> رجل يركب دراجه اسفل تله صخريه <END>', '<START> رجل يركب دراجته ترابيه اسفل درب صخري <END>', '<START> شخص يركب دراجه اسفل تله صخريه <END>']"
6577,3623650392_7b75d4de21,"['<START> كلب بني في حقل <END>', '<START> كلب بني يقف في وسط حقل ضخم <END>', '<START> كلب بني يقف في حقل عشب جاف <END>']"
458,143552697_af27e9acf5,"['<START> رجل يركب دراجته علي تله <END>', '<START> شخص يركب دراجه ناريه من خلال حقل عشبي <END>', '<START> راكب دراجه ناريه يركب عبر سهل عشبي <END>']"
2054,2483792149_a9b4ffecec,"['<START> تقف امراه شقراء في وسط حقل من زهور ورديه طويله <END>', '<START> امراه جالسه في حقل من زهور <END>', '<START> امراه تقف بين مجموعه من زهور ورديه مع كوخ صغير في ظهر <END>']"
2430,2613209320_edf6a2b7e9,"['<START> كلب يخرج من ماء <END>', '<START> كلب طويل ذو شعر بني يسير عبر نهر <END>', '<START> كلب رطب يخرج من ماء <END>']"
250,128912885_8350d277a4,"['<START> كلب يقفز علي كره حمراء علي عشب <END>', '<START> كلب ابيض يقفز للقبض علي كره حمراء <END>', '<START> يلعب كلب مع كره حمراء <END>']"
6903,3693961165_9d6c333d5b,"['<START> كلب اسود ينظر من خلال سياج <END>', '<START> كلب بني داكن يركض علي طول سياج في خارج <END>', '<START> كلب سلوقي بني يمشي علي عشب اخضر وينظر من خلال سياج <END>']"
5437,3399906919_bc8562b257,"['<START> رجل يرمي كره بيضاء صغيره في بعض كؤوس حمراء <END>', '<START> رجل يحاول رمي كره داخل اكواب حمراء <END>', '<START> شخصان بجوار منزل بني <END>']"
1107,2158267555_db1d94e468,"['<START> يركب طفل مهر بينما يقف طفل اكبر سنا والبالغين بجانبها <END>', '<START> امراه و فتاه تقف بجانب فتاه اخري تجلس علي حصان اسمر <END>', '<START> يتناوب اطفال علي ركوب مهر صغير مع شخص بالغ يشرف عليه <END>']"
6559,3619416477_9d18580a14,"['<START> كلب ابيض يقفز من ماء للقبض علي كره <END>', '<START> كلب ابيض يقفز في ماء للقبض علي كره تنس <END>', '<START> كلب ابيض يقفز للخروج من ماء للقبض علي كره <END>']"
1713,2394919002_ed7527ff93,"['<START> مجموعه من ناس علي جسر بالقرب من بحيره <END>', '<START> يمشي صبي صغير في قميص اصفر بالقرب من حافه بركه <END>', '<START> صبي صغير يركض للبركه <END>']"
3911,307301755_48919ef1b2,"['<START> رجل اسود يجلس بجوار شجره في منطقه ريفيه <END>', '<START> يجلس رجل يرتدي قبعه زرقاء علي كرسي تحت شجره <END>', '<START> رجل في قميص احمر يجلس علي كرسي بلاستيكي في منطقه رمليه مظلله <END>']"
6509,3609032038_005c789f64,"['<START> متسابق دراجه ترابيه يركب صخور <END>', '<START> ياخذ متسابق دراجه ترابيه درب غير تقليديه في منطقه صخريه <END>', '<START> راكب علي دراجه ناريه يسير فوق صخور <END>']"
715,1798215547_ef7ad95be8,"['<START> ينزلق صبي يرتدي ازرق داكن علي زحلوقه رماديه <END>', '<START> صبي يضع بطنه علي ذراعيه امامه <END>', '<START> صبي صغير ينزلق علي منزلق و وجهه للاسفل <END>']"
552,1501985304_8c50093004,"['<START> طفل يسبح مع امراه <END>', '<START> طفل صغير يدخل الي بركه بمساعده من امراه <END>', '<START> صبي صغير في حمام سباحه مع امراه بالغه <END>']"
1439,2286270205_16038dec5a,"['<START> كلب بني علي حافه جسم مائي محاط بالثلوج <END>', '<START> كلب يقف بالقرب من ثلج يبحث في ماء <END>', '<START> كلب يسير علي طول ثلج الي ماء <END>']"
2270,2560278143_aa5110aa37,"['<START> كلب يلعب في عشب <END>', '<START> كلب يسير علي تله عشبيه <END>', '<START> كلب اسود وبني يسير علي تراب والاعشاب <END>']"
3144,2860040276_eac0aca4fc,"['<START> طفل اشقر يتارجح علي ارجوحه <END>', '<START> طفل ذو شعر اشقر يلعب علي ارجوحه <END>', '<START> فتاه شابه ترتدي قميص ذو رسوم كارتون تستمتع بالركوب علي ارجوحه <END>']"
7718,543326592_70bd4d8602,"['<START> زوجان في مقدمه يرقصان بين مجموعه من ناس <END>', '<START> زوجان مع شعر مشرق يحتضنان قرب حشد من اخرين <END>', '<START> امراتان يحتضنان بعضهما في حدث مزدحم في هواء طلق <END>']"
1925,244870123_dcb6e53643,"['<START> اثنين من كلاب يجاذبان بقطعه من ماده بيضاء <END>', '<START> كلبان يتقاتلان علي قطعه من قماش <END>', '<START> كلبان يجتربان علي منشفه <END>']"
634,161669933_3e7d8c7e2c,"['<START> رجل يركب دراجه بخاريه مع رقم عليها <END>', '<START> ينحرف سائق دراجه ناريه الي يسار <END>', '<START> متسابق دراجات ناريه مهنيه تحول زاويه <END>']"
316,1346529555_e916816cfe,"['<START> كلب في جو يلتقط كره حمراء <END>', '<START> كلب يسترد كره جولف <END>', '<START> كلب يقفز لديه كره حمراء في فمه <END>']"
7598,516998046_1175674fcd,"['<START> كلب يركض في محيط بجانب شاطئ <END>', '<START> كلب يمر من خلال ماء <END>', '<START> كلب يقوم جري عبر ماء <END>']"
5424,3397803103_8a46d716f4,"['<START> كلب يصطاد كره في حقل ثلجي <END>', '<START> كلب يصطاد كره في ثلج <END>', '<START> كلب يقفز في ثلج للقبض علي كره <END>']"
427,1419385780_1383ec7ba9,"['<START> رجل يرتدي ازرق <END>', '<START> رجل يرتدي قميص و قميص ابيض يلف ذراعه <END>', '<START> رجل ذو شعر مقوس علي طريقه موهوك يجلس في ظل <END>']"
6012,3513362553_5fc5779e20,"['<START> لاعب بيسبول <END>', '<START> لاعب بيسبول يتارجح في كره بينما يشاهده متفرجون <END>', '<START> لاعب يضرب كره <END>']"
105,1115565519_d976d4b1f1,"['<START> طفل يلعب مع نافوره علي شاطئ <END>', '<START> فتاه تنظر الي ينبوع يرش ماء <END>', '<START> تلعب طفله مع لعبه في نافوره عامه <END>']"
3041,2831314869_5025300133,"['<START> رجل في حذاء يجلس علي اله <END>', '<START> رجل يريح ساقيه علي بكره معدنيه <END>', '<START> يجلس رجل يرتدي حذاءا كبيرا بني لون مطاطيا علي اله ذات سلاسل كبيره <END>']"
4238,315125146_d9a8e60061,"['<START> كلب ابيض و اسود يعض ستره شخص <END>', '<START> كلب يسحب كم رجل في معطف جلدي <END>', '<START> كلب بني و ابيض يعض ستره رجل جلديه <END>']"
2169,2526585002_10987a63f3,"['<START> مجموعه من رجال في قارب اصفر مع كلابهم <END>', '<START> رجال ثلاثه والكلاب ثلاثه طافوا في قارب اصفر <END>', '<START> رجلان يتجولان حول كلب <END>']"
1709,239453674_0df7767208,"['<START> يمشي ضابط وكلب امام طابور من ناس <END>', '<START> يمشي شرطي من بوابه بها كلب كبير بني وسود <END>', '<START> يمشي شرطي مع كلبه <END>']"
89,109738763_90541ef30d,"['<START> شخص علي عربه ثلج في منتصف قفزه <END>', '<START> عربه جليد تطير في هواء <END>', '<START> رجل في هواء <END>']"
2241,2552438538_285a05b86c,"['<START> يقف اطفال ثلاثه فوق سياج <END>', '<START> ثلاثه اطفال يقفون بالقرب من سياج <END>', '<START> ثلاثه اولاد صغار يقفون بجانب سياج <END>']"
3174,2866686547_0a67eb899d,"['<START> فتاتان ترتديان قميصين تركضان نحو كره قدم <END>', '<START> فتاتان في فريق احمر يلعبان كره قدم <END>', '<START> فتاتان في زي كره قدم احمر تركضان وراء كره قدم <END>']"
6045,3518675890_2f65e23ff9,"['<START> كلب بني يركض في حقل <END>', '<START> كلب بني فاتح يركض من خلال عشب طويل <END>', '<START> كلب برتقالي يركض عبر عشب <END>']"
1949,2455528149_6c3477fd33,"['<START> رجل وامراه ينظران الي اعمال فنيه علي حفلات ومشبك بجدار سياج <END>', '<START> ناس معجبون باللوحات في شارع <END>', '<START> بعض ناس ينظرون الي صور في معرض فني <END>']"
4044,3106223494_52d4d2d75d,"['<START> رجل في قناع و يرتدي بدله بابا نويل <END>', '<START> رجل يرتدي بدله بابا نويل يرتدي قناعا احمر و اصفر و قرونا <END>', '<START> رجل في شارع في مدينه يرتدي بدله بابا نويل و قناع <END>']"
7625,524282699_71e678a6bd,"['<START> كلب اسود و كلب ذهبي يقتربان من بعضهما بعض <END>', '<START> يمتد كلب اسود و كلب بني نحو بعضهما بعض علي شاطئ <END>', '<START> كلب اسود يقترب من كلب ذهبي علي شاطئ مرصوف بالحصي <END>']"
2848,2752809449_632cd991b3,"['<START> فتاه جالسه في حضن رجل في قطار ركاب <END>', '<START> رجل وامراه يجلسان معا في وسائل نقل عام <END>', '<START> امراه جالسه في حضن رجل في نظام نقل عام <END>']"
1,1001773457_577c3a7d70,"['<START> كلب اسود وكلب ثلاثي الوان يلعبان مع بعضهما بعض علي طريق <END>', '<START> كلب اسود وكلب ابيض ببقع بنيه يحدقان في بعضهما بعض في شارع <END>', '<START> كلاب علي رصيف تتحرك نحو بعضها بعض <END>']"
4337,317383917_d8bfa350b6,"['<START> مجموعه من كلاب تقف في ثلج <END>', '<START> اربعه كلاب تقف في ثلج <END>', '<START> ثلاثه من كلاب سوداء و كلب ابيض يقفون في ثلج <END>']"
935,2079152458_40712c3b40,"['<START> كلب لديه كره تنس في فمه <END>', '<START> كلب تان يلعب بالكره خضراء <END>', '<START> كلب يركض مع كره تنس في فمه <END>']"
6922,369802520_9825f2cd84,"['<START> كلب صغير يمر عبر ثلج <END>', '<START> كلب صغير يمشي في ثلج <END>', '<START> كلب صغير اسمر يركض عبر ثلج <END>']"
2720,2708176152_1634cb754d,"['<START> مجموعه من راكبي دراجات هوائيه في سباق <END>', '<START> مجموعه من ناس في سباق دراجات <END>', '<START> مجموعه من راكبي دراجات في ركوب خيل مع خوذات <END>']"
5205,3350260112_fcb47ff6b2,"['<START> يلعب كثير من ناس في ماء علي شاطئ <END>', '<START> كثير من ناس علي شاطئ بجانب اشجار نخيل <END>', '<START> ناس علي شاطئ <END>']"
6198,3546027589_253553252a,"['<START> مجموعه من اطفال يلعبون كره قدم ويتحدثون خارج مطعم <END>', '<START> عديد من اطفال يقفون في شوارع وهم يلعبون كره <END>', '<START> اطفال يتحدثون ويلعبون في شارع <END>']"
591,1552065993_b4dcd2eadf,"['<START> كلب يركض في حقل <END>', '<START> كلب مع ياقه كبيره <END>', '<START> كلب بني والابيض يمر عبر حقل من عشب والازهار ورديه <END>']"
7794,616045808_0286d0574b,"['<START> شخص يرتدي زي اسود و وردي و قبعه ركوب علي دراجه هوائيه احاديه عجله في شارع <END>', '<START> امراه ترتدي قبعه سوداء و ورديه و كبيره ذات ريش تركب دراجه في موكب <END>', '<START> امراه في ثوب اسود و قبعه ركوب دراجه هوائيه احاديه عجله امام حشد من ناس <END>']"
6076,3524436870_7670df68e8,"['<START> كلب بني يلعب بالفقاعات <END>', '<START> كلب بني يسير عبر عشب بينما تطفو فقاعات <END>', '<START> كلب بني غامق ينظر الي فقاعات بينما يمشي علي عشب اخضر <END>']"
2936,278559394_b23af734b9,"['<START> رجل وامراه عجوز يقفان وينظران الي بعضهما بعض خلف مصور <END>', '<START> مجموعه من ناس في يوم مشمس <END>', '<START> يقف عده اشخاص تحت سماء زرقاء صافيه <END>']"
2448,2619267133_53a5904ef4,"['<START> صبي صغير يرتدي قبعه رعاه بقر يركب حصانا <END>', '<START> صبي صغير يركب حصانا احمر <END>', '<START> صبي صغير يرتدي قبعه رعاه بقر ويمتطي حصانا <END>']"
1576,2339946012_06bd480ab8,"['<START> كلب بني يسبح في ماء <END>', '<START> كلب يسبح في ماء <END>', '<START> كلب يسبح باتجاه عصا <END>']"
6507,3609026563_9c66f2dc41,"['<START> رجل يحمل جراء <END>', '<START> رجل يحمل اثنين من جراء <END>', '<START> شخص يحمل اثنين من جراء حديثي ولاده <END>']"
6750,3659090958_a56913ca68,"['<START> طفل يضحك في ممشي <END>', '<START> صبي اسيوي يستمتع بلعبته <END>', '<START> طفل صغير يجلس علي كرسي صغير يلعب بلعبه <END>']"
213,1252787177_4b08625897,"['<START> ثلاثه ازواج من ملابس داخليه ذات الوان مختلفه تتدلي من حبل غسيل مع ناس و سيارات في خلفيه <END>', '<START> ثلاثه ازواج من سراويل معلقه علي خط <END>', '<START> ثلاثه ازواج من ملابس داخليه للمراه معلقه علي سلك تحت مظله <END>']"
778,191003283_992257f835,"['<START> صبي صغير اشقر وشابه في جينز يمشون في ساحه <END>', '<START> امراه تمشي وصبي صغير يمشي الي جانبها <END>', '<START> يرتدي طفل قميصا احمر ويسير في ساحه <END>']"
6841,3679407035_708774de34,"['<START> يرتدي رجل اسمر لون قميصا ازرق لون <END>', '<START> رجل يرتدي قميصا ازرق يرتفع فوق بطنه <END>', '<START> شاب يرتدي قميص قصير و اخرون يتجمعون في احد شوارع مدينه <END>']"
3496,2949762776_52ece64d28,"['<START> يلعب فريقان لعبه كره قدم <END>', '<START> فريقان يلعبان لعبه كره قدم <END>', '<START> يلعب فريقان لعبه كره قدم في ملعب <END>']"
6345,3576250302_14779632bd,"['<START> دراجه ترابيه ترفع غبار <END>', '<START> رجل يقود دراجه ناريه في تراب بالقرب من شجيرات <END>', '<START> رجل يركب دراجه ترابيه متسخه <END>']"
2043,2480664591_e6d22ed61c,"['<START> شخصان يركبان في زورق بالقرب من غابه <END>', '<START> شخصان يجدان زورقا في ماء <END>', '<START> شخصان يتجولون في قارب <END>']"
7336,451597318_4f370b1339,"['<START> كلب بني يقفز للقبض علي لعبه برتقاليه <END>', '<START> كلب يمسك قرص في هواء <END>', '<START> كلب يقفز في هواء للقبض علي صحن طائر برتقالي <END>']"
5420,3397228832_8ce5b1c26f,"['<START> يركب رجل يرتدي سروالا ابيض و قميصا رطبا علي لوح تزلج اصفر لامع <END>', '<START> رجل يركب علي امواج صفراء يركب موجه سهله <END>', '<START> رجل يركب لوح تزلج اصفر <END>']"
1567,2337377811_8c81b40a64,"['<START> يتجول طفلك صغير مرتجل فوق ثلج <END>', '<START> فتاه صغيره في قبعه ورديه تمشي في ثلج <END>', '<START> طفل صغير يلعب في ثلج وحول شجيرات <END>']"
165,1187593464_ce862352c6,"['<START> كلب يمر عبر حقل عشبي بعصا في فمه <END>', '<START> كلب يركض بعصا في فمه <END>', '<START> يركض كلب باتجاه كاميرا بعصا في فمه <END>']"
4702,3248752274_96740ed073,"['<START> كلب اسود يسحب زلاجه حمراء في ثلج <END>', '<START> كلب اسود يسحب زلاجه حمراء <END>', '<START> كلب اسود يرتدي حزاما يسحب زلاجه <END>']"
3566,2976350388_3984e3193d,"['<START> رجل يفعل حيل مع دراجته <END>', '<START> رجل يقفز عبر عقبه يحمل دراجته <END>', '<START> رجل يقفز في هواء بينما يحمل دراجه هوائيه <END>']"
6195,3545652636_0746537307,"['<START> لاعب كره قدم صبي يركض في ملعب <END>', '<START> صبي صغير يرتدي احمر يركض نحو كره قدم <END>', '<START> صبي صغير يرتدي زيا احمر يرفس كره قدم في ملعب و طفل اخر في ازرق من خلف يراقبه <END>']"
7687,537559285_29be110134,"['<START> كلب يمر من خلال مسار عقبه <END>', '<START> كلب قفز فوق عقبه صفراء <END>', '<START> كلب يقفز فوق عقبه <END>']"
5439,3400041870_4e7732b40f,"['<START> يمشي صبي و فتاه اسيويان في حديقه <END>', '<START> صبي و فتاه اسيويان يسيران وسط حشد مع اشجار علي طريقهم <END>', '<START> يمشي صبي اسيوي في ستره باللونين وردي و اسود مع فتاه في سن مراهقه في ستره بنيه لون <END>']"
2013,2473293833_78820d2eaa,"['<START> صبي صغير يرتدي ستره جينز يخرج لسانه <END>', '<START> ينظر صبي صغير ذو شعر بني وعيون خضراء الي كاميرا ويخرج لسانه <END>', '<START> طفل يرتدي ستره يخرج لسانه <END>']"
273,1304961697_76b86b0c18,"['<START> طفلين علي الواح تزلج يلوحان لبعضهما بعض <END>', '<START> يحاول طفلين علي الواح تزلج ضرب تحيه <END>', '<START> اثنين من اطفال صغار يرفعون يد واحده في هواء <END>']"
3860,3055716848_b253324afc,"['<START> طفل يقوم بخدعه علي لوح تزلج <END>', '<START> متزلج يقفز <END>', '<START> شخص يقوم بخدعه علي لوح تزلج في حديقه تزلج بينما يراقب ناس <END>']"
4167,3134092148_151154139a,"['<START> رجل علي لوح ركوب امواج <END>', '<START> رجل يركب موجه <END>', '<START> راكب امواج يقوم بدوره علي لوحه <END>']"
6452,3596959859_a7cb1e194b,"['<START> ويبدو ان مجموعه من ناس تحرث ارض من بين اكواخ من قش <END>', '<START> يقوم فريق من عمال بتفكيك حجاره علي ارض <END>', '<START> رجال يستخدمون معازق لكسر تربه <END>']"
3788,3039675864_0b7961844d,"['<START> رجل يركب دراجه ناريه جوار رصيف <END>', '<START> طيور في شارع <END>', '<START> امراتان تاكلان علي طاوله و كثير من حمام بجوارهما <END>']"
5183,3346918203_986dca6641,"['<START> شخص يركب دراجته علي درب بجوار غابه <END>', '<START> امراه تركب دراجتها فوق تل بالقرب من غابه <END>', '<START> امراه ترتدي ستره زرقاء وهي تركب دراجه هوائيه علي طريق غابات <END>']"
394,1401961581_76921a75c5,"['<START> فتاه مربوطه بحبال بانجي <END>', '<START> فتاه مربوطه بحبال بانجي مع حشد ورائها <END>', '<START> فتيات صغيرات مربوطه بالاحزمه تستعد للقفز في هواء <END>']"
583,1536774449_e16b1b6382,"['<START> تجمع حشد من ناس مع مشهد سماء في خلفيه <END>', '<START> حشد من ناس في حدث في هواء طلق <END>', '<START> تجمع حشد كبير من ناس معا <END>']"
7953,832128857_1390386ea6,"['<START> فتي صغير ذو شعر احمر يبتسم و هو يتارجح <END>', '<START> طفل مبتسم يتارجح علي ارجوحه <END>', '<START> صبي يلعب علي ارجوحه <END>']"
8063,968081289_cdba83ce2e,"['<START> صبيان يقفزان من رصيف في ماء <END>', '<START> صبيان يستعدان للقفز من رصيف يقع علي جسم كبير من ماء <END>', '<START> طفلان يقفزان من ميناء الي بحيره <END>']"
7496,493621130_152bdd4e91,"['<START> كلب بني يقفز في ماء <END>', '<START> كلب يقفز من قارب <END>', '<START> كلب بني فاتح مع ذيله في هواء يقفز من عائم نحو ماء <END>']"
7936,804087017_330bcc8c56,"['<START> كثير من ناس يقفون و يجلسون في شارع امام لوحات اعلانات <END>', '<START> رجلان يجلسان علي مقعد في شارع بجانب سيدتين يفعلان نفس شيء <END>', '<START> شخصان يجلسان علي مقعد في احد شوارع مدينه <END>']"
7731,55135290_9bed5c4ca3,"['<START> صبي يرتدي قميصا احمر و جينزا ينقلب علي دراجته <END>', '<START> شخص يقلب دراجه راسا علي عقب <END>', '<START> شخص يقلب علي دراجه <END>']"
7300,441817653_fbdf83060b,"['<START> رجل ملتح يرتدي ستره و قبعه يجلس علي مقعد في حديقه <END>', '<START> رجل ذو لحيه كثيفه و يرتدي قبعه يجلس علي مقعد في حديقه <END>', '<START> رجل عجوز ذو لحيه طويله و جاكيت يجلس علي مقعد في حديقه <END>']"
520,1472653060_7427d2865a,"['<START> رجل يقطع بعض طعام علي لوح اصفر <END>', '<START> رجل يقطع طعام لوضعه في اطباق طعام في قاعه طعام <END>', '<START> شاب يقوم باعداد طعام مع رواد مطعم في خلفيه <END>']"
1763,241345639_1556a883b1,"['<START> ثلاثه لاعبي كره قدم يعالجون لاعب كره قدم احمر لون خلال مباراه كره قدم <END>', '<START> يحاول ثلاثه من لاعبي كره قدم ذين يرتدون زيا ارجوانيا مهاجمه لاعب يرتدي زي احمر <END>', '<START> يحاول لاعبو كره قدم معرقله لاعب فريق مقابل <END>']"
1875,2432061076_0955d52854,"['<START> يمر كلب بني عبر ماء علي شاطئ <END>', '<START> كلب يركض في امواج <END>', '<START> كلب كبير بني والابيض يقف علي شاطئ <END>']"
5355,3377570617_d2f2225a74,"['<START> سيدتين تاخذان صوره <END>', '<START> تقف امراتان في منتصف عمر لاخذ صوره بالقرب من غابه <END>', '<START> امراتان كبيرتان تبتسمان و تقفان امام اشجار كبيره و امراه تقوم باصلاح شعرها <END>']"
3965,3087095548_6df7c2a8ed,"['<START> كثير من ناس يقفون علي جسر فوق مياه عكره <END>', '<START> يقف عديد من اشخاص علي جسر علوي يراقبون <END>', '<START> يراقب ناس سياره زرقاء تتدلي فوق جسر يعبر نهر <END>']"
3344,2908859957_e96c33c1e0,"['<START> فتاه في ثوب اصفر تقفز حبال <END>', '<START> فتاه تلعب و تقفز فوق حبل <END>', '<START> فتاه ترتدي اصفر تقفز فوق حبل احمر واخضر <END>']"
2253,2554570943_122da6438f,"['<START> طفل يتسلق داخل انبوب احمر في هيكل لعبه <END>', '<START> فتاه تتسلق زحليقه حمراء <END>', '<START> يصعد طفل داخل زحليقه حمراء <END>']"
3224,2877511986_c965ced502,"['<START> فتاه تتشقلب علي شاطئ <END>', '<START> فتاه تتشقلب علي شاطئ <END>', '<START> فتاه تتشقلب في مياه محيط <END>']"
526,1475046848_831245fc64,"['<START> امراه شابه ذات شورت ازرق تمشي علي شاطئ وتحمل حذائها <END>', '<START> امراه سمراء مع شورت ازرق يمشي علي طول شاطئ يحمل حذاء في يد واحده <END>', '<START> امراه تحمل حذائها علي شاطئ <END>']"
2946,2789350645_96a2535b4d,"['<START> كلب اسود كبير يركض علي عشب مع لعبه في فمه <END>', '<START> كلب بني مجعد يركض عبر عشب يحمل لعبه في فمه <END>', '<START> كلب اسود يركض علي عشب مع لعبه في فمه <END>']"
4473,3203908917_53e53c03d1,"['<START> رجل ملثم يساعد علي حرق علم <END>', '<START> رجال يحرقون علم اسرائيل <END>', '<START> بعض ناس في شرق اوسط و ضعوا علم اسرائيلي في نار <END>']"
3899,3070011270_390e597783,"['<START> كلب اسود و بني يسير في ماء و ينظر الي كاميرا <END>', '<START> كلب بني و اسود يسبح في نهر <END>', '<START> كلب كبير ينظر للاعلي و هو يسبح <END>']"
5655,3439414478_8038ba9409,"['<START> كلب بني يقفز في هواء <END>', '<START> كلب بني يقفز في منطقه مشجره <END>', '<START> كلب يقفز في هواء <END>']"
692,1763020597_d4cc8f0f8a,"['<START> يستند ناس علي جدار <END>', '<START> حفنه من ناس يجلسون في ظل مظله اسمنت <END>', '<START> يجلس خمسه بالغين علي درجات حجريه <END>']"
